,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
342,"ш. каширское, 66 корпус 1",1954,36,3,4,1905.7,55.643861,37.675065
343,"ул. бочкова, 6 корпус 1",1961,111,4,8,4766.0,55.810506,37.633544
344,"4-й вешняковский проезд, 5 корпус 1",1966,100,5,5,4469.1,55.720007,37.795061
345,"пестовский пер., 14",1956,11,2,3,835.0,55.746461,37.660233
346,"ул. каховка, 13 корпус 8",1964,72,1,9,2589.3,55.647249,37.583059
347,"загорского проезд, 7 корпус 2",1984,82,1,15,4651.0,55.719338,37.443344
348,"ул. осенняя, 16",1999,337,4,22,22059.0,55.765635,37.405471
349,"ул. большая академическая, 73 корпус 4",1968,84,1,12,3638.2,55.843768,37.550917
350,"ул. 2-я прядильная, 3 корпус 1",1957,30,3,5,2621.8,55.795813,37.777967
351,"ул. амурская, 74",1961,80,4,5,3188.9,55.812843,37.795178
352,"ул. серпуховский вал, 18/28",1962,64,1,8,2155.2,55.712071,37.613171
353,"ул. плеханова, 25 корпус 3",1968,84,1,12,3602.9,55.743755,37.767384
354,"ул. днепропетровская, 5 корпус 1",1975,144,4,9,7132.1,55.622385,37.60037
355,"ул. ивана бабушкина, 13 корпус 1",1955,61,3,5,4187.6,55.685579,37.562398
356,"чернышевского пер., 11 строение 2",1959,30,2,5,1669.0,55.783235,37.607197
357,"ул. бойцовая, 22 корпус 6",1962,72,1,9,2587.6,55.815003,37.725271
358,"ул. корнейчука, 41",1982,235,5,12,13514.0,55.894429,37.63305
359,"ул. ботаническая, 33 корпус 7",1974,98,1,14,4231.0,55.839183,37.581155
360,"ул. 4-я гражданская, 39 корпус 4",1958,80,4,5,3464.2,55.808827,37.720456
361,"ул. инженерная, 28",1961,45,3,5,2385.1,55.880586,37.574723
362,"ул. грина, 24",2002,255,4,17,10034.3,55.565972,37.577058
363,"генерала карбышева б-р, 7 корпус 6",1960,80,4,5,3514.8,55.780178,37.465452
364,"ул. нижегородская, 6",1966,80,1,12,3474.0,55.738014,37.67837
365,"ул. 1-я владимирская, 14",1957,56,3,5,2877.3,55.757024,37.774957
366,"лаврушинский пер., 11 корпус 1",2007,42,5,7,9587.4,55.742154,37.621372
367,"9-я северная линия, 23 корпус 2",2008,197,3,17,11109.0,55.932551,37.551178
368,"ул. твардовского, 12 корпус 3",2013,618,6,23,39786.6,55.793176,37.400998
369,"ул. елецкая, 7 корпус 1",1977,71,2,9,2267.0,55.609706,37.732754
370,"ул. новопесчаная, 4 корпус 1",1949,34,3,4,1652.1,55.801743,37.516808
