,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city,Flats_per_floor,Street
5666,"пр-кт севастопольский, 46 корпус 4",1962,80,4,5,3526.2,55.655204,37.565443,moscow,4.0,пр-кт севастопольский
44512,"пр-кт средний в.о., 106 литер б",1915,6,2,3,414.95,59.931242,30.237867,spb,1.0,пр-кт средний в.о.
46208,"ул. шелгунова, 6 литер а",1961,60,4,5,2751.8,59.866911,30.462779,spb,3.0,ул. шелгунова
12807,"ул. кибальчича, 11 корпус 1",1959,80,4,5,3408.0,55.816525,37.651044,moscow,4.0,ул. кибальчича
36997,"пр-кт стачек, 16 литер а",1951,142,17,7,17145.0,59.896319,30.278813,spb,1.1932773109243695,пр-кт стачек
29136,"ул. климашкина, 22",1928,60,4,6,3976.0,55.76836,37.567249,moscow,2.5,ул. климашкина
32641,"ул. варшавская, 6 корпус 1 литер а",2014,877,10,18,45576.8,59.879778,30.314036,spb,4.872222222222223,ул. варшавская
10294,"1-й рощинский проезд, 4 корпус 1",1958,30,2,5,1624.6,55.710058,37.605598,moscow,3.0,1-й рощинский проезд
32099,"ул. гаванская, 30 литер а",1911,19,1,7,1083.7,59.934939,30.238173,spb,2.7142857142857144,ул. гаванская
37243,"ул. 1-я красноармейская, 20 литер а",1822,9,1,4,503.9,59.915837,30.311466,spb,2.25,ул. 1-я красноармейская
30739,"ш. рублевское, 30 корпус 2",1985,472,7,17,25721.0,55.748468,37.420689,moscow,3.966386554621849,ш. рублевское
20953,"боровский, 16",1965,59,3,5,2456.0,55.65366,37.384747,moscow,3.9333333333333336,боровский
22207,"1-й щипковский пер., 11/13",1932,25,3,5,1419.1,55.72307,37.631613,moscow,1.6666666666666667,1-й щипковский пер.
20678,"ул. краснодарская, 20/1",1974,213,6,9,10477.8,55.677209,37.750469,moscow,3.9444444444444446,ул. краснодарская
4343,"ул. водопьянова, 1 корпус 1",2009,2,2,3,435.0,55.907551,37.564895,moscow,0.3333333333333333,ул. водопьянова
41617,"пр-кт гражданский, 107 корпус 1 литер а",1983,216,3,12,7085.0,60.028029,30.416192,spb,6.0,пр-кт гражданский
7850,"ул. перовская, 26 корпус 3",1960,50,3,5,3420.6,55.744987,37.771274,moscow,3.333333333333333,ул. перовская
22842,"новолесной пер., 7",1958,30,2,5,1612.0,55.782451,37.587901,moscow,3.0,новолесной пер.
8199,"измайловский б-р, 16",1973,112,1,17,5783.0,55.796167,37.789303,moscow,6.588235294117647,измайловский б-р
10457,"ул. мироновская, 46 корпус 1",2013,340,4,24,21343.6,55.79268,37.733195,moscow,3.5416666666666665,ул. мироновская
42575,"пр-кт дунайский, 5 корпус 7 литер а",2007,351,5,18,16134.2,59.827745,30.330475,spb,3.9,пр-кт дунайский
11950,"старомонетный пер., 24",1948,16,2,4,1298.0,55.738941,37.619198,moscow,2.0,старомонетный пер.
48977,"ул. маршала чуйкова, 35",1985,90,1,9,3239.5,55.836767,49.12845,kazan,10.0,ул. маршала чуйкова
14309,"ул. корнейчука, 46",1976,213,6,9,10582.0,55.895858,37.631658,moscow,3.9444444444444446,ул. корнейчука
27537,"черноморский б-р, 5 корпус 4",2012,100,5,5,4494.0,55.644343,37.611949,moscow,4.0,черноморский б-р
2062,"ш. щелковское, 92 корпус 2",1967,143,4,9,7126.0,55.81131,37.824302,moscow,3.9722222222222223,ш. щелковское
10467,"перервинский б-р, 7 корпус 1",2000,141,3,12,7790.0,55.662699,37.766306,moscow,3.9166666666666665,перервинский б-р
31086,"ул. маршала тухачевского, 58",1965,76,4,5,3335.6,55.784825,37.458517,moscow,3.8,ул. маршала тухачевского
30480,"ш. ленинградское, 50",1960,288,6,8,12596.0,55.835099,37.485906,moscow,6.0,ш. ленинградское
45816,"ул. зины портновой, 50 литер а",1962,50,5,5,2435.7,59.848678,30.259903,spb,2.0,ул. зины портновой
13921,"6-й новоподмосковный пер., 3",2000,400,8,16,33928.2,55.823181,37.511436,moscow,3.125,6-й новоподмосковный пер.
21817,"9-я северная линия, 23 корпус 1",2009,161,2,24,9374.0,55.932052,37.549687,moscow,3.3541666666666665,9-я северная линия
16712,"ул. большая почтовая, 18/20 корпус 18а",1957,24,2,5,1832.0,55.774325,37.690174,moscow,2.4,ул. большая почтовая
15065,"пр-кт союзный, 6 корпус 4",1968,83,1,12,3632.0,55.749116,37.806201,moscow,6.916666666666667,пр-кт союзный
41080,"ул. парашютная, 61 корпус 1 литер а",2017,1408,6,20,56050.8,60.035297,30.250426,spb,11.733333333333333,ул. парашютная
4441,"ул. федора полетаева, 13",1992,163,3,14,9350.1,55.711782,37.78182,moscow,3.880952380952381,ул. федора полетаева
31022,"ул. дегунинская, 4 корпус 1",2015,73,1,13,4094.0,55.864975,37.540039,moscow,5.615384615384615,ул. дегунинская
32143,"пр-кт среднегаванский, 7/8 литер а",1901,44,4,5,2838.49,59.930796,30.245207,spb,2.2,пр-кт среднегаванский
35395,"черной речки наб., 8 литер а",1958,67,5,5,4158.8,59.9881,30.29871,spb,2.68,черной речки наб.
28874,"пятницкое, 23 корпус 1",1997,184,3,15,11140.0,55.84815,37.367499,moscow,4.0888888888888895,пятницкое
12223,"2-й верхний михайловский проезд, 1",1957,32,3,5,2693.7,55.70914,37.605984,moscow,2.1333333333333333,2-й верхний михайловский проезд
43926,"ул. гагаринская, 6/1 литер а",1904,21,6,5,3432.0,59.947762,30.342315,spb,0.7,ул. гагаринская
2112,"ул. юных ленинцев, 68 корпус 1",1963,72,1,9,2579.8,55.698807,37.772873,moscow,8.0,ул. юных ленинцев
