,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,Flats_per_floor,Street
94,"ул. будапештская, 104 корпус 3 литер а",1999,80,2,11,4956.7,59.832064,30.404496,3.636363636363636,ул. будапештская
95,"ул. губина, 6 литер а",1949,12,2,2,685.71,59.896526,30.262867,3.0,ул. губина
96,"ул. малая карпатская, 13 литер а",1983,428,6,12,23011.3,59.836843,30.425561,5.944444444444444,ул. малая карпатская
97,"11-я в.о. линия, 24 литер б",1917,8,1,3,994.14,59.939447,30.274761,2.6666666666666665,11-я в.о. линия
98,"обводного канала наб., 53 литер в",1916,13,3,2,854.4,59.91521,30.358799,2.1666666666666665,обводного канала наб.
99,"ул. 13-я красноармейская, 28 литер а",1899,14,1,5,1061.78,59.914926,30.29871,2.8,ул. 13-я красноармейская
100,"пр-кт дачный, 24 корпус 2 литер а",2000,143,3,11,11261.0,59.840948,30.258053,4.333333333333333,пр-кт дачный
101,"пр-кт малый п.с., 74 литер а",1932,55,5,5,3897.6,59.96435,30.303022,2.2,пр-кт малый п.с.
102,"ул. окраинная, 9 литер б",2012,84,3,7,6415.3,59.984422,30.527188,4.0,ул. окраинная
103,"ул. белградская, 46 литер а",1965,134,9,5,6031.43,59.848538,30.369551,2.977777777777778,ул. белградская
104,"пр-кт тихорецкий, 9 корпус 4 литер а",1964,120,6,5,5366.98,60.013834,30.371905,4.0,пр-кт тихорецкий
105,"ул. федосеенко, 33 литер а",1961,60,3,5,2571.87,59.975464,30.398082,4.0,ул. федосеенко
106,"пр-кт кондратьевский, 26 литер а",1916,25,2,5,1553.92,59.964822,30.38105,2.5,пр-кт кондратьевский
107,"ул. двинская, 10 корпус 5 литер а",1996,184,3,19,9586.6,59.906797,30.248476,3.2280701754385968,ул. двинская
108,"пр-кт большой сампсониевский, 47 литер а",2008,118,6,8,8547.0,59.970335,30.341542,2.458333333333333,пр-кт большой сампсониевский
109,"пр-кт искровский, 15 корпус 2 литер л",1977,244,7,9,14178.15,59.905678,30.464881,3.8730158730158726,пр-кт искровский
110,"ул. верейская, 28 литер а",1876,25,5,6,1645.1,59.915098,30.327232,0.8333333333333334,ул. верейская
111,"ул. большая пушкарская, 45 литер а",1904,29,5,4,2665.95,59.963742,30.312113,1.45,ул. большая пушкарская
112,"дор. торфяная, 15 корпус 1 строение 1",2020,443,4,13,16583.2,59.994391,30.25675,8.51923076923077,дор. торфяная
113,"ул. геологическая, 75 корпус 14 литер а",1980,54,2,3,2430.3,59.751787,30.072658,9.0,ул. геологическая
114,"ул. ленина, 38 литер а",1934,38,4,5,2341.4,60.083795,30.250417,1.9,ул. ленина
115,"ул. лени голикова, 98 корпус 2 литер а",1996,80,2,10,4559.0,59.835329,30.250929,4.0,ул. лени голикова
116,"ул. бестужевская, 53 литер а",1963,100,5,5,4497.6,59.977683,30.426684,4.0,ул. бестужевская
117,"новаторов б-р, 28 литер а",1968,84,2,12,4161.9,59.848036,30.271994,3.5,новаторов б-р
118,"ул. бассейная, 69 литер а",1963,118,6,5,5405.41,59.863631,30.340114,3.9333333333333336,ул. бассейная
119,"ул. дрезденская, 11 литер а",1969,84,2,12,4147.52,60.012692,30.329019,3.5,ул. дрезденская
120,"ул. краснопутиловская, 26 литер а",1958,70,4,5,4357.75,59.870709,30.269695,3.5,ул. краснопутиловская
121,"новосмоленская наб., 1 литер б",1986,190,7,11,10605.2,59.949231,30.229271,2.467532467532468,новосмоленская наб.
122,"ул. ленсовета, 91 литер а",1963,58,3,5,2450.4,59.833864,30.345701,3.866666666666666,ул. ленсовета
123,"реки фонтанки наб., 32/1 литер а",1850,33,6,5,3735.0,59.937648,30.344372,1.1,реки фонтанки наб.
