,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
435,"дор. кушелевская, 3 корпус 7 литер а",2016,182,1,24,10117.8,59.987465,30.371761
436,"новаторов б-р, 56 литер а",1964,70,7,5,3178.8,59.843946,30.26788
437,"ул. брянцева, 13 корпус 1 литер а",2014,1038,7,26,54248.7,60.039768,30.407505
438,"15-я в.о. линия, 50 литер б",1917,2,1,2,206.1,59.941889,30.265697
439,"ул. крупской, 15 литер а",1958,59,4,5,3556.13,59.891408,30.431993
440,"ул. купчинская, 10 корпус 3 литер а",1973,251,7,9,13430.4,59.840112,30.389081
441,"реки пряжки наб., 40 литер а",1911,10,2,5,942.01,59.921705,30.279774
442,"ул. декабристов, 37 литер а",1828,32,4,6,2322.14,59.925236,30.289422
443,"ул. турку, 15 литер а",1970,84,1,12,4126.5,59.865655,30.388793
444,"пр-кт гражданский, 113 корпус 3 литер а",2010,286,1,22,16720.6,60.031175,30.417459
445,"ул. дубровская, 4 литер а",1948,8,1,3,376.1,59.899915,30.367656
446,"ул. морской пехоты, 8 корпус 1 литер а",1975,198,5,9,6303.0,59.861869,30.24756
447,"ул. подольская, 41 литер б",1898,3,1,3,77.4,59.912788,30.326881
448,"ул. подрезова, 5 литер а",1912,37,2,6,2096.4,59.963841,30.305789
449,"ул. русановская, 19 корпус 3 литер а",2015,578,5,24,23631.2,59.863649,30.515078
450,"пр-кт невский, 87/2 литер а",1867,19,5,4,1128.59,59.930543,30.363784
451,"пр-кт солидарности, 7 корпус 1 литер б",1972,324,9,9,17725.0,59.923685,30.489297
452,"ул. тимуровская, 26 корпус 2 литер а",1971,251,7,9,12917.43,60.043875,30.410281
453,"ул. промышленная, 16 литер в",1948,29,1,2,536.49,59.898318,30.269299
454,"пр-кт стачек, 93 литер а",1976,66,1,12,3754.3,59.86008,30.252222
455,"11-я в.о. линия, 32/44 литер а",1900,26,2,5,1377.6,59.94129,30.273566
456,"ул. генерала симоняка, 11 литер а",1969,79,4,5,3501.89,59.829346,30.202573
457,"ул. уточкина, 5 литер а",1987,253,7,9,13314.3,60.010794,30.263712
458,"ул. 5-я советская, 47 литер б",1899,16,1,5,800.4,59.932302,30.375049
459,"ул. ивана фомина, 3 литер а",1983,110,1,16,5673.14,60.045232,30.343824
460,"ул. партизана германа, 13 литер а",2001,128,4,8,9017.2,59.838968,30.173809
461,"обводного канала наб., 147-149 литер б",1862,10,1,5,941.85,59.909405,30.311799
462,"ул. пушкинская, 16 литер а",1916,50,5,5,4138.44,59.928492,30.356939
463,"ул. херсонская, 3 литер а",1903,52,6,6,3242.98,59.929736,30.376468
464,"ул. дибуновская, 19 литер а",1949,8,1,2,622.1,59.985876,30.276926
465,"ул. марата, 52 литер а",1877,22,3,5,2732.97,59.923252,30.350795
466,"ул. стремянная, 14 литер а",1837,12,1,4,1360.46,59.931039,30.35207
467,"ул. подольская, 40 литер а",1881,7,2,5,691.0,59.913374,30.327367
468,"пр-кт институтский, 1 литер а",1965,99,5,5,3360.99,59.996358,30.346069
469,"ул. кузнецовская, 6 литер а",1960,80,4,5,3492.0,59.872344,30.299276
470,"ул. тимуровская, 14 литер а",1972,90,6,5,4293.57,60.044846,30.401082
471,"19-я в.о. линия, 12 литер а",1881,29,5,5,2588.24,59.933722,30.268787
472,"ул. бурцева, 10 литер а",1968,70,7,5,3174.12,59.836432,30.205393
473,"горелово, ш. красносельское, 54 корпус 6 литер а",2012,551,5,16,28665.7,59.793487,30.15083
474,"ул. типанова, 9 литер а",1960,60,3,5,2552.3,59.853437,30.331193
475,"ул. краснопутиловская, 6 литер а",1959,60,4,5,3697.84,59.875641,30.261718
476,"ул. ленсовета, 5 литер а",1953,10,3,5,3426.7,59.859542,30.328256
477,"ул. беринга, 18 литер а",1959,40,2,5,2363.28,59.940091,30.242628
478,"ул. руднева, 9 корпус 2 литер а",1973,252,7,9,12798.49,60.041606,30.36515
479,"пр-кт ветеранов, 46 литер а",1968,45,1,9,1995.69,59.841116,30.242907
480,"поэтический б-р, 5 литер а",1974,179,5,9,9742.8,60.043768,30.346096
481,"ул. донская, 24 литер а",1902,8,2,5,575.9,59.941146,30.2662
482,"ул. краснопутиловская, 47 литер а",1960,50,5,5,2434.0,59.867213,30.272974
483,"пр-кт приморский, 169 литер а",1993,176,3,12,9377.7,59.989265,30.190733
484,"ул. галерная, 28 литер а",1798,10,1,3,747.7,59.931368,30.291039
485,"пр-кт средний в.о., 96 литер а",1959,79,4,5,3919.16,59.932369,30.244156
486,"ул. 2-я алексеевская, 7 литер а",2003,176,7,10,14620.8,60.019451,30.286188
487,"пр-кт новоизмайловский, 20 корпус 4 литер а",1961,99,5,5,4472.03,59.862786,30.309553
488,"ул. гороховая, 45 литер б",1756,15,8,3,461.4,59.927355,30.321429
489,"ул. володи ермака, 19 литер а",1872,7,1,4,328.76,59.920131,30.28343
490,"ул. савушкина, 115 корпус 1 литер а",1990,260,10,9,14702.2,59.985251,30.234589
491,"ул. лени голикова, 19 литер а",1967,50,5,5,2459.05,59.8457,30.230151
492,"21-я в.о. линия, 16 корпус 1 литер б",1930,70,7,5,4844.82,59.936453,30.262104
493,"ул. купчинская, 17 корпус 2 литер а",1974,287,8,9,11636.95,59.83801,30.384805
494,"ул. андреевская, 7 литер а",1949,18,2,4,968.3,59.900128,30.368914
495,"15-я в.о. линия, 46 литер а",1917,12,1,4,813.9,59.941344,30.26603
496,"ул. некрасова, 25 литер а",1854,27,4,4,3006.0,59.938613,30.35914
497,"ул. кронштадтская, 6 литер а",1960,100,5,5,4181.18,59.875854,30.254855
498,"ул. коллонтай, 27 корпус 3 литер ф",1974,179,5,9,9790.15,59.919617,30.47902
499,"пр-кт волковский, 24 литер а",1912,6,1,3,409.9,59.898133,30.358403
500,"новаторов б-р, 5 литер а",1964,54,1,9,1923.5,59.853252,30.265068
501,"пр-кт маршала блюхера, 12 литер вп",1990,53,2,5,2394.2,59.982158,30.379298
502,"ул. маршала захарова, 29 корпус 3 литер а",1978,71,2,9,4080.1,59.849523,30.205124
503,"пр-кт гражданский, 29 литер а",1963,100,5,5,4364.68,60.007303,30.392683
504,"ул. наличная, 3/21 литер а",1953,102,7,9,7155.43,59.929921,30.237778
505,"ул. купчинская, 19 корпус 1 литер а",1974,179,5,9,9857.4,59.835528,30.389386
506,"пр-кт авиаконструкторов, 13 литер а",1987,615,17,9,34150.2,60.012228,30.249114
507,"ул. почтамтская, 8 литер а",1756,24,4,5,2268.4,59.932414,30.303678
508,"ул. савушкина, 46 литер а",1950,17,2,5,1077.0,59.984557,30.281957
509,"ул. большая московская, 7 литер б",1879,9,1,5,713.68,59.926526,30.345935
510,"ул. гороховая, 42 литер а",1870,19,3,4,1583.05,59.927234,30.324222
511,"ул. шаврова, 25 корпус 1 литер а",1989,158,2,16,9719.1,60.024666,30.254262
512,"пр-кт просвещения, 53 корпус 1 литер а",1997,647,13,15,38727.0,60.042923,30.380843
513,"ул. омская, 4 литер а",1960,60,3,5,2515.4,59.992353,30.318195
514,"пр-кт 2-й муринский, 34 корпус 1 литер б",1964,168,7,7,9792.2,60.000686,30.355484
515,"ул. авангардная, 3 литер а",1969,231,4,9,11310.0,59.840894,30.177995
516,"ул. лизы чайкиной, 20 литер а",1999,29,1,7,2688.2,59.955205,30.303435
517,"пр-кт кузнецова, 32 литер а",1981,299,5,15,14667.0,59.848986,30.185891
518,"ул. лужская, 12 литер а",1970,105,7,5,3729.3,60.026064,30.42734
519,"пр-кт невский, 3 литер а",1839,23,4,5,3757.24,59.936787,30.312643
